artist_name,channel_ID,channel_title,published,views,subs,videos,channel_age_years,views_per_video,subs_per_video,views_per_sub
Eminence Ensemble,UC0UylOwb1SmptHDiliRaGjg,Eminence Ensemble - Topic,2015-12-15 13:07:25+00:00,2698.0,81.0,11.0,9.724845995893224,245.27272727272728,7.363636363636363,33.30864197530864
"""Music City Hit-Makers""",UCMNoLbEZ8yIu536q_GBr7cA,MusicCityHitMakers,2011-03-22 00:33:55+00:00,140084.0,423.0,23.0,14.461327857631758,6090.608695652174,18.391304347826086,331.16784869976357
84 - Trib. to Van Halen,UCAeLFBCQS7FvI8PvBrWvSBg,Armin van Buuren - Topic,2013-06-17 22:10:49+00:00,614569628.0,51700.0,24383.0,12.219028062970569,25204.84058565394,2.120329737932166,11887.226847195358
Toy Dolls,UCXodGGoCUuMgLFoTf42OgIw,Titi Toys and Dolls,2016-11-07 04:35:12+00:00,3094466619.0,5720000.0,1103.0,8.826830937713895,2805500.107887579,5185.856754306437,540.9906676573427
Béla Fleck & Abigail Washburn,UCptlnsqjPBIf4-C9XuXek_Q,Béla Fleck,2012-06-03 01:57:11+00:00,9521057.0,25500.0,176.0,13.256673511293634,54096.91477272727,144.88636363636363,373.3747843137255
Elizabeth Cook,UC1m5ZPx183wZK9N1LsopVpQ,Elizabeth Cook,2011-01-26 19:50:46+00:00,978762.0,3760.0,50.0,14.609171800136892,19575.24,75.2,260.3090425531915
"""The Summer Spirit Festival"", Erykah Badu",UCxnuRSNkX-wk7IOaCKiAz3A,D.Masters WildBoyz,2006-12-14 16:20:49+00:00,255.0,1.0,5.0,18.72689938398357,51.0,0.2,255.0
Kensington,UCdYZHSYQejJzBZfGHAihHDw,Kensington,2006-12-04 18:17:50+00:00,121417860.0,109000.0,121.0,18.754277891854894,1003453.3884297521,900.8264462809917,1113.9253211009175
"""Country Night At The Drive-In"", Chris Janson",UCa9zjxkVfAnICHPjb5fFUqg,Chris Janson - Topic,2013-07-16 04:09:37+00:00,104285021.0,5990.0,289.0,12.139630390143736,360847.82352941175,20.726643598615915,17409.85325542571
Noah Smith,UCpIWMyDVYs-3ASApXCkRmTQ,Noah Smith,2011-02-01 02:31:05+00:00,361000.0,1200.0,94.0,14.5927446954141,3840.425531914894,12.76595744680851,300.8333333333333
Stereo Embers,UCsmgxgx8GYcTuwkiMdnJNpg,The Stereo Embers - Topic,2015-09-22 23:13:11+00:00,2248.0,8.0,5.0,9.95482546201232,449.6,1.6,281.0
Sam O.B.,UCCoX5A2IV9wCxQ0UOneMS3A,Sam O.B.,2016-11-09 22:15:21+00:00,70083.0,251.0,23.0,8.821355236139631,3047.086956521739,10.91304347826087,279.2151394422311
Kisstory,UC6DhGBwj1AXxoQLFdp2_NhA,KISStory,2015-12-08 22:38:01+00:00,813824.0,2170.0,135.0,9.744010951403148,6028.325925925926,16.074074074074073,375.0341013824885
Secret Walls,UCr89TxBTbRLKOXJ_hk1BuLQ,Secret Walls,2012-03-27 10:01:47+00:00,71596.0,1740.0,101.0,13.442847364818617,708.8712871287129,17.22772277227723,41.14712643678161
Allison Moorer,UC_FfU0gy47cOSjOpMec4AAg,Allison Moorer,2019-08-16 21:19:26+00:00,2179387.0,5300.0,35.0,6.056125941136208,62268.2,151.42857142857142,411.20509433962263
Soda Stereo,UC_MAancGcA0YeACrpSwokhQ,Soda Stereo,2006-03-02 22:36:20+00:00,3856179984.0,2800000.0,57.0,19.512662559890487,67652280.42105263,49122.80701754386,1377.2071371428572
Sticky Fingers,UC8ntQqm4DCOcI2q2saTB3Ow,Sticky Fingers - Topic,2013-12-20 19:50:55+00:00,51446513.0,946.0,154.0,11.709787816563997,334068.2662337662,6.142857142857143,54383.20613107822
Warren Zeiders,UCz3FJf3aLNUe6W90-a16LBA,Warren Zeiders,2017-08-23 19:56:41+00:00,543460942.0,498000.0,454.0,8.035592060232718,1197050.5330396476,1096.9162995594713,1091.287032128514
Jim Messina,UCXQJm2ZpvE1YpZNDTO5m1OA,Jim Messina,2019-08-30 17:53:08+00:00,181253.0,861.0,16.0,6.017796030116359,11328.3125,53.8125,210.5145180023229
Sisters Of The Strawberry Moon,UC5qEF5UbU6s3GyfKwKn0lKg,Sisters of the Strawberry Moon - Topic,2019-01-07 09:35:48+00:00,0.0,11.0,0.0,6.661190965092403,,,0.0
Pallett,UCZHYBNrtIrfeqQPA1aPZzNQ,Pallett Band,2012-05-15 12:23:22+00:00,6340620.0,15900.0,70.0,13.308692676249144,90580.28571428571,227.14285714285714,398.7811320754717
Captured - The Journey Show,UCPEc8JRUDTHdMDKV0zeSjxA,capturedshow,2010-06-03 14:23:49+00:00,1723.0,1.0,1.0,15.2580424366872,1723.0,1.0,1723.0
Axiom Brass,UCSWB0e5UAM5N2l3Ud7ar89Q,Axiom Brass,2012-01-02 23:42:34+00:00,210564.0,1340.0,79.0,13.675564681724847,2665.3670886075947,16.962025316455698,157.1373134328358
The Lacs,UCQ3XT3ITBrZZh4sNpdueORg,The Lacs,2011-02-03 16:18:47+00:00,425712492.0,621000.0,218.0,14.587268993839835,1952809.5963302753,2848.623853211009,685.5273623188406
